Panthers,0,0,3,7,10,Falcons,14,7,10,0,31,201017
Steelers,14,17,7,3,41,Browns,0,3,0,6,9,201017
Vikings,0,0,7,6,13,Lions,0,10,3,7,20,201017
Raiders,0,10,7,14,31,Chiefs,3,0,7,0,10,201017
Dolphins,0,0,0,7,7,Patriots,14,10,14,0,38,201017
Buccaneers,3,7,10,3,23,Saints,7,0,3,3,13,201017
Bills,0,0,7,0,7,Jets,3,14,7,14,38,201017
Bengals,0,0,0,7,7,Ravens,3,3,7,0,13,201017
Chargers,0,16,10,7,33,Broncos,7,0,7,14,28,201017
Bears,0,3,0,0,3,Packers,0,0,3,7,10,201017
Titans,3,3,14,0,20,Colts,3,10,7,3,23,201017
Cowboys,0,7,0,7,14,Eagles,0,7,0,6,13,201017
Cardinals,0,7,0,0,7,49ers,7,3,21,7,38,201017
Giants,3,7,7,0,17,Redskins,0,7,0,7,14,201017
Jaguars,0,17,0,0,17,Texans,10,10,7,7,34,201017
Rams,0,3,3,0,6,Seahawks,7,0,3,6,16,201017
Saints,10,10,0,16,36,Seahawks,7,17,10,7,41,201018
Jets,0,0,7,10,17,Colts,0,7,3,6,16,201018
Ravens,3,7,13,7,30,Chiefs,7,0,0,0,7,201018
Packers,7,7,7,0,21,Eagles,0,3,7,6,16,201018
Ravens,14,7,0,3,24,Steelers,7,0,14,10,31,201019
Packers,0,28,14,6,48,Falcons,7,7,0,7,21,201019
Seahawks,0,0,3,21,24,Bears,14,7,7,7,35,201019
Jets,0,14,0,14,28,Patriots,3,0,8,10,21,201019
Packers,7,7,0,7,21,Bears,0,0,0,14,14,201020
Jets,0,3,7,9,19,Steelers,7,17,0,0,24,201020
Steelers,0,10,7,8,25,Packers,14,7,0,10,31,201022
Saints,7,10,10,7,34,Packers,21,7,7,7,42,201101
Falcons,3,0,3,6,12,Bears,10,6,14,0,30,201101
Bengals,10,3,0,14,27,Browns,0,14,3,0,17,201101
Bills,14,6,14,7,41,Chiefs,0,7,0,0,7,201101
Eagles,14,3,7,7,31,Rams,7,3,3,0,13,201101
Lions,6,14,7,0,27,Buccaneers,10,3,0,7,20,201101
Titans,0,0,7,7,14,Jaguars,7,3,3,3,16,201101
Steelers,0,7,0,0,7,Ravens,14,7,11,3,35,201101
Colts,0,0,0,7,7,Texans,17,17,0,0,34,201101
Panthers,7,7,7,0,21,Cardinals,7,0,7,14,28,201101
Vikings,7,10,0,0,17,Chargers,7,0,7,10,24,201101
Seahawks,0,0,7,10,17,49ers,0,16,0,17,33,201101
Giants,7,7,0,0,14,Redskins,0,14,7,7,28,201101
Cowboys,7,3,7,7,24,Jets,0,7,3,17,27,201101
Patriots,7,7,14,10,38,Dolphins,7,0,10,7,24,201101
Raiders,0,16,0,7,23,Broncos,3,0,10,7,20,201101
Raiders,0,21,0,14,35,Bills,0,3,14,21,38,201102
Chiefs,3,0,0,0,3,Lions,7,13,7,21,48,201102
Ravens,0,10,0,3,13,Titans,0,10,10,6,26,201102
Browns,0,14,0,13,27,Colts,3,6,3,7,19,201102
Buccaneers,0,0,10,14,24,Vikings,7,10,0,3,20,201102
Bears,7,3,3,0,13,Saints,3,13,7,7,30,201102
Jaguars,3,0,0,0,3,Jets,9,6,14,3,32,201102
Seahawks,0,0,0,0,0,Steelers,7,10,7,0,24,201102
Cardinals,7,0,7,7,21,Redskins,0,10,0,12,22,201102
Packers,0,7,16,7,30,Panthers,10,3,0,10,23,201102
Cowboys,0,7,7,10,3,27,49ers,0,14,7,3,0,24,201102
Bengals,0,3,12,7,22,Broncos,7,3,7,7,24,201102
Texans,6,10,0,7,23,Dolphins,3,0,7,3,13,201102
Chargers,7,0,0,14,21,Patriots,7,13,0,15,35,201102
Eagles,0,10,21,0,31,Falcons,7,7,7,14,35,201102
Rams,6,0,10,0,16,Giants,7,14,7,0,28,201102
Patriots,14,7,3,7,31,Bills,0,10,7,17,34,201103
49ers,0,0,3,10,13,Bengals,3,0,0,5,8,201103
Dolphins,7,3,3,3,16,Browns,0,7,3,7,17,201103
Broncos,7,0,7,0,14,Titans,0,10,0,7,17,201103
Lions,0,0,10,13,3,26,Vikings,6,14,0,3,0,23,201103
Texans,10,6,3,14,33,Saints,0,10,7,23,40,201103
Giants,14,0,0,15,29,Eagles,0,13,3,0,16,201103
Jaguars,0,10,0,0,10,Panthers,2,3,3,8,16,201103
Jets,7,10,0,7,24,Raiders,7,10,7,10,34,201103
Ravens,21,6,3,7,37,Rams,0,0,7,0,7,201103
Chiefs,0,0,7,10,17,Chargers,0,10,7,3,20,201103
Packers,7,10,3,7,27,Bears,0,10,0,7,17,201103
Cardinals,0,10,0,0,10,Seahawks,3,3,7,0,13,201103
Falcons,0,3,0,10,13,Buccaneers,3,10,3,0,16,201103
Steelers,10,0,0,13,23,Colts,0,13,0,7,20,201103
Redskins,6,3,7,0,16,Cowboys,3,6,3,6,18,201103
Panthers,3,17,0,9,29,Bears,10,14,0,10,34,201104
Bills,0,17,0,3,20,Bengals,3,0,10,10,23,201104
Titans,7,14,10,0,31,Browns,3,3,0,7,13,201104
Lions,0,3,14,17,34,Cowboys,7,13,10,0,30,201104
Vikings,7,0,3,7,17,Chiefs,3,6,6,7,22,201104
Redskins,7,7,3,0,17,Rams,0,0,0,10,10,201104
49ers,0,3,14,7,24,Eagles,7,13,3,0,23,201104
Saints,7,7,6,3,23,Jaguars,0,10,0,0,10,201104
Steelers,0,0,7,3,10,Texans,7,3,0,7,17,201104
Giants,0,10,0,21,31,Cardinals,3,3,14,7,27,201104
Falcons,7,17,3,3,30,Seahawks,0,7,14,7,28,201104
Broncos,3,14,0,6,23,Packers,14,14,14,7,49,201104
Patriots,7,10,7,7,31,Raiders,3,7,3,6,19,201104
Dolphins,7,3,3,3,16,Chargers,7,6,10,3,26,201104
Jets,7,10,0,0,17,Ravens,17,10,7,0,34,201104
Colts,3,7,7,0,17,Buccaneers,0,7,10,7,24,201104
Eagles,0,7,7,10,24,Bills,7,14,10,0,31,201105
Chiefs,0,14,7,7,28,Colts,7,17,0,0,24,201105
Cardinals,0,3,7,0,10,Vikings,28,0,3,3,34,201105
Seahawks,14,0,2,20,36,Giants,7,7,0,11,25,201105
Titans,3,0,7,7,17,Steelers,7,14,7,10,38,201105
Saints,10,10,3,7,30,Panthers,6,7,7,7,27,201105
Bengals,7,6,0,17,30,Jaguars,7,6,0,7,20,201105
Raiders,3,9,3,10,25,Texans,7,7,3,3,20,201105
Buccaneers,3,0,0,0,3,49ers,7,17,10,14,48,201105
Chargers,6,17,0,6,29,Broncos,7,3,0,14,24,201105
Jets,0,7,7,7,21,Patriots,7,3,14,6,30,201105
Packers,0,6,9,10,25,Falcons,7,7,0,0,14,201105
Bears,0,10,0,3,13,Lions,0,7,14,3,24,201105
Panthers,3,7,7,0,17,Falcons,7,7,0,17,31,201106
Colts,0,7,0,10,17,Bengals,7,3,10,7,27,201106
49ers,0,12,3,10,25,Lions,10,0,3,6,19,201106
Rams,0,3,0,0,3,Packers,3,21,0,0,24,201106
Bills,14,3,0,7,24,Giants,7,10,7,3,27,201106
